place,lat,lon
"Seattle, Washington, USA",47.6038321,-122.330062
"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262
"Chicago, Illinois, USA",41.8755616,-87.6244212
"Boston, Massachusetts, USA",42.3588336,-71.0578303
"Nashville, Tennessee, USA",36.1622767,-86.7742984
"Portland, Oregon, USA",45.5202471,-122.674194
"Toronto, Ontario, Canada",43.6534817,-79.3839347
"Washington, D.C., USA",38.8950368,-77.0365427
"Denver, Colorado, USA",39.7392364,-104.984862
"Vancouver, British Columbia, USA",NA,NA
"Baltimore, Maryland, USA",39.2908816,-76.610759
"Montréal, Quebéc, Canada",45.5031824,-73.5698065
"San Diego, California, USA",32.7174202,-117.162772
"Miami Beach, Florida, USA",25.7929198,-80.1353006
"Vancouver, British Columbia, Canada",49.2608724,-123.113952
"Salt Lake City, Utah, USA",40.7596198,-111.886797
"Minneapolis, Minnesota, USA",44.9772995,-93.2654692
"San Francisco, California, USA",37.7879363,-122.4075201
"New York City, New York, USA",40.7127281,-74.0060152
"Atlanta, Georgia, USA",33.7544657,-84.3898151
"Indianapolis, Indiana, USA",39.7683331,-86.1583502
"Dallas, Texas, USA",32.7762719,-96.7968559
"Anaheim, California, USA",33.8347516,-117.911732
"Orlando, Florida, USA",28.5421218,-81.379045
"New Orleans, Louisiana, USA",29.9561422,-90.0733934
"Las Vegas, Nevada, USA",36.1674263,-115.1484131
"Cincinnati, Ohio, USA",39.1014537,-84.5124602
"Detroit, Michigan, USA",42.3315509,-83.046640300000007
"Houston, Texas, USA",29.7589382,-95.3676974
